booking_id;flight_ids;booking_price;frequent_flyer_id
5000;[1734];836;FF0040
5001;[1787, 1419];1631;FF0062
5002;[1324];757;FF0010
5003;[1696];629;FF0010
5004;[1848];898;FF0045
5005;[1186, 1786];775;FF0071
5006;[1056, 1851, 1127, 1530];1200;FF0065
5007;[1230, 1354, 1970, 1963];2167;FF0042
5008;[1979];664;FF0033
5009;[1310];729;FF0036
5010;[1656];272;FF0069
5011;[1157, 1175, 1674, 1639];2963;FF0076
5012;[1884];129;FF0073
5013;[1656];889;FF0011
5014;[1215];885;FF0074
5015;[1654];131;FF0074
5016;[1558, 1296, 1657];1353;FF0064
5017;[1464];174;FF0088
5018;[1450];525;FF0089
5019;[1348];721;FF0062
5020;[1735];426;FF0019
5021;[1353, 1998, 1408, 1133, 1778];2415;FF0094
5022;[1273];560;FF0031
5023;[1051];397;FF0032
5024;[1428, 1254, 1985];2182;FF0050
5025;[1738, 1320, 1194, 1781];2078;FF0042
5026;[1509, 1023, 1092];1687;FF0064
5027;[1361];149;FF0031
5028;[1611];963;FF0007
5029;[1292, 1549];1075;FF0084
5030;[1903];370;FF0014
5031;[1412];3500;FF0094
5032;[1583];675;FF0006
5033;[1295];175;FF0025
5034;[1782, 1563];1331;FF0050
5035;[1121, 1131];702;FF0080
5036;[1347, 1571];1347;FF0048
5037;[1521];511;FF0019
5038;[1039];240;FF0065
5039;[1485];631;FF0092
5040;[1914];627;FF0059
5041;[1627];426;FF0018
5042;[1631];857;FF0021
5043;[1519, 1848];1266;FF0039
5044;[1306, 1486];1052;FF0063
5045;[1112];526;FF0048
5046;[1920];842;FF0075
5047;[1611, 1485];1142;FF0089
5048;[1233, 1738];849;FF0100
5049;[1644];838;FF0062
5050;[1389, 1151];1738;FF0080
5051;[1970];3500;FF0032
5052;[1451];421;FF0015
5053;[1707];308;FF0054
5054;[1626, 1942];1575;FF0053
5055;[1722, 1141];943;FF0095
5056;[1678];589;FF0072
5057;[1979];277;FF0068
5058;[1350, 1559, 1362, 1692];3513;FF0059
5059;[1270, 1624, 1495];1033;FF0083
5060;[1964];404;FF0072
5061;[1212];806;FF0099
5062;[1491];457;FF0091
5063;[1814, 1738, 1280, 1294];2359;FF0072
5064;[1404, 1838, 1353];2063;FF0049
5065;[1978];831;FF0038
5066;[1452];771;FF0011
5067;[1219, 1206];1598;FF0033
5068;[1712, 1278, 1140, 1111];3500;FF0035
5069;[1926];643;FF0032
5070;[1053, 1102];961;FF0029
5071;[1697];889;FF0092
5072;[1563];261;FF0018
5073;[1901, 1899];1175;FF0053
5074;[1987];394;FF0084
5075;[1060];887;FF0042
5076;[1237, 1547];1696;FF0012
5077;[1179, 1427, 1903, 1857];1879;FF0005
5078;[1766];993;FF0064
5079;[1009, 1305, 1581];1369;FF0038
5080;[1656];656;FF0037
5081;[1961];237;FF0068
5082;[1197];928;FF0065
5083;[1748];569;FF0015
5084;[1190];114;FF0083
5085;[1302];681;FF0095
5086;[1179, 1625];1730;FF0087
5087;[1527, 1335, 1088];1492;FF0052
5088;[1488, 1331, 1958, 1254, 1006];2628;FF0024
5089;[1309, 1596, 1740, 1586];1715;FF0035
5090;[1683];221;FF0089
5091;[1415];802;FF0060
5092;[1909, 1720, 1788, 1318];2182;FF0065
5093;[1224, 1980];825;FF0048
5094;[1620];482;FF0020
5095;[1934, 1482];3500;FF0054
5096;[1780, 1253, 1696];2576;FF0086
5097;[1540, 1720];649;FF0011
5098;[1848];660;FF0073
5099;[1549];253;FF0065
5101;[1396];1701;FF0028
5102;[1337];673;FF0077
5103;[1357];1061;FF0034
5104;[1686];1825;FF0001
5105;[1562];1135;FF0044
5106;[1024];1029;FF0067
5107;[1023];564;FF0085
5108;[1832];1477;FF0051
5109;[1417];3500;FF0061
5110;[1075];1661;FF0046
5111;[1987];1532;FF0098
5112;[1036];832;FF0055
5113;[1949];642;FF0057
5114;[1455];1539;FF0047
5115;[1803];1264;FF0041
5116;[1475];1029;FF0082
5117;[1156];1032;FF0030
5118;[1145];772;FF0093
5119;[1363];702;FF0017
5120;[1324];1131;FF0016
5121;[1302];517;FF0027
5122;[1976];1469;FF0043
5123;[1988];654;FF0004
5124;[1400];847;FF0078
5125;[1083];1340;FF0081
5126;[1496];1746;FF0013
5127;[1689];552;FF0058
5128;[1679];1111;FF0096
5129;[1121];909;FF0070
5130;[1635];1223;FF0003
5131;[1996];1391;FF0022
5132;[1656];740;FF0008
5133;[1869];1175;FF0023
5134;[1952];1463;FF0097
5135;[1558];1871;FF0009
5136;[1687];1061;FF0056
5137;[1060];505;FF0026
5138;[1555];1317;FF0066
5139;[1592];990;FF0090
5140;[1300];751;FF0002
5141;[1567];1480;FF0079
