flight_id,flight_date,mileage
1000,23/11/2024,4661
1001,27/02/2024,2041
1002,13/01/2024,1420
1003,20/05/2024,2376
1004,05/05/2024,1365
1005,24/04/2024,784
1006,12/03/2024,688
1007,22/02/2024,1559
1008,12/12/2024,2719
1009,06/10/2024,4862
1010,14/02/2024,2564
1011,29/10/2024,3797
1012,04/08/2024,1218
1013,17/01/2024,4039
1014,16/01/2024,2691
1015,17/02/2024,3497
1016,21/04/2024,2430
1017,29/04/2024,4299
1018,15/09/2024,4623
1019,04/11/2024,4245
1020,14/01/2024,3786
1021,14/10/2024,858
1022,11/04/2024,526
1023,28/11/2024,3739
1024,25/12/2024,2840
1025,06/10/2024,2251
1026,02/08/2024,411
1027,22/04/2024,948
1028,17/08/2024,2075
1029,28/10/2024,4912
1030,22/05/2024,369
1031,04/01/2024,2407
1032,22/03/2024,4920
1033,23/12/2024,529
1034,04/08/2024,1635
1035,23/06/2024,4054
1036,22/05/2024,4451
1037,20/03/2024,3822
1038,20/04/2024,2478
1039,21/06/2024,1686
1040,22/02/2024,4995
1041,17/02/2024,3770
1042,13/07/2024,4228
1043,19/02/2024,947
1044,02/07/2024,4050
1045,25/06/2024,3050
1046,05/11/2024,3545
1047,15/05/2024,2930
1048,23/01/2024,2830
1049,23/08/2024,1056
1050,01/10/2024,1517
1051,04/03/2024,2901
1052,12/07/2024,3572
1053,10/02/2024,4258
1054,09/10/2024,2561
1055,30/05/2024,3480
1056,17/11/2024,4706
1057,12/11/2024,500
1058,04/07/2024,3925
1059,22/10/2024,921
1060,08/04/2024,2776
1061,26/12/2024,2267
1062,05/02/2024,2848
1063,24/01/2024,1149
1064,04/12/2024,3511
1065,26/04/2024,4415
1066,28/05/2024,209
1067,10/02/2024,4644
1068,29/04/2024,3984
1069,21/02/2024,3585
1070,13/07/2024,644
1071,22/05/2024,1736
1072,20/08/2024,4447
1073,21/11/2024,3163
1074,05/07/2024,4283
1075,24/03/2024,3821
1076,08/07/2024,622
1077,30/06/2024,1867
1078,17/04/2024,2387
1079,09/12/2024,4699
1080,16/05/2024,1273
1081,25/12/2024,2559
1082,15/12/2024,3789
1083,27/11/2024,4170
1084,06/02/2024,1194
1085,07/11/2024,436
1086,21/11/2024,2160
1087,28/03/2024,1497
1088,30/09/2024,2745
1089,05/05/2024,4712
1090,24/03/2024,312
1091,24/08/2024,4724
1092,13/07/2024,3542
1093,18/05/2024,963
1094,23/11/2024,2040
1095,18/12/2024,1129
1096,12/10/2024,3980
1097,22/04/2024,1162
1098,16/12/2024,1461
1099,15/06/2024,4282
1100,29/01/2024,2590
1101,27/04/2024,4368
1102,17/01/2024,2439
1103,10/06/2024,3603
1104,24/07/2024,4152
1105,17/05/2024,4068
1106,03/02/2024,2196
1107,18/04/2024,3941
1108,17/10/2024,4715
1109,10/06/2024,1384
1110,18/04/2024,3342
1111,01/12/2024,1761
1112,12/09/2024,4363
1113,21/07/2024,1318
1114,25/11/2024,771
1115,22/08/2024,2463
1116,14/03/2024,3599
1117,15/05/2024,2984
1118,12/03/2024,4359
1119,06/05/2024,2388
1120,14/10/2024,221
1121,02/10/2024,2517
1122,14/05/2024,2645
1123,26/10/2024,4950
1124,07/08/2024,4211
1125,25/10/2024,1417
1126,23/07/2024,3858
1127,04/07/2024,4612
